"WARNAME","STATENAME","ISO3C","STARTDATE","ENDDATE","TOTAL_WAR_TIME","TOTAL_BATTLE_DEATHS","LAT","LNG"
"Invasion of Afghanistan","United States of America","USA",07-OCT-01,22-DEC-01,76,4002,34.473231,68.903733
"Invasion of Afghanistan","Australia","AUS",17-OCT-01,22-DEC-01,66,4002,34.473231,68.903733
"Invasion of Afghanistan","France","FRA",21-OCT-01,22-DEC-01,62,4002,34.473231,68.903733
"Invasion of Afghanistan","Afghanistan","AFG",07-OCT-01,22-DEC-01,76,4002,34.473231,68.903733
"Invasion of Afghanistan","Canada","CAN",15-NOV-01,22-DEC-01,37,4002,34.473231,68.903733
"Invasion of Afghanistan","United Kingdom","GBR",07-OCT-01,22-DEC-01,76,4002,34.473231,68.903733
"Invasion of Iraq","United States of America","USA",19-MAR-03,02-MAY-03,44,7173,36.3566,43.164
"Invasion of Iraq","Iraq","IRQ",19-MAR-03,02-MAY-03,44,7173,36.3566,43.164
"Invasion of Iraq","Australia","AUS",19-MAR-03,02-MAY-03,44,7173,36.3566,43.164
"Invasion of Iraq","United Kingdom","GBR",19-MAR-03,02-MAY-03,44,7173,36.3566,43.164
