"WAR_YEAR","COUNTRY_GAINING","COUNTRY_LOSING","POP","AREA","CONSEQUENCE"
1878,"Romania","Turkey",357000,15372,"cession"
1878,"Russia","Romania",127000,9274,"cession"
1878,"Russia","Turkey",236600,25769,"cession"
1879,"Egypt","Ethiopia",325000,468000,"conquest"
1880,"Montenegro","Turkey",,520,"cession"
1880,"Turkey","Montenegro",200,1,"cession"
1881,"Chile","Argentina",,1,"cession"
1881,"Argentina","Chile",10,1,"cession"
1881,"France","Tunisia",2100000,116348,"conquest"
1881,"Greece","Turkey",293000,13364,"cession"
1881,"China","Russia",,42900,"cession"
1882,"United Kingdom","Egypt",6806381,1021081,"conquest"
1883,"Chile","Peru",20000,51480,"conquest"
1884,"Chile","Bolivia",14000,50215,"conquest"
1884,"Ethiopia","Egypt",,468000,"cession"
1884,"Sudan","United Kingdom",11000000,2658063,"unknown process"
1885,"France","Madagascar",12237,250,"cession"
1885,"Portugal","Belgium",,7298,"cession"
1886,"United Kingdom","Myanmar",4000000,492000,"conquest"
1887,"United Kingdom","Maldives",30000,298,"annexation"
1888,"United Kingdom","Brunei",45000,5765,"annexation"
1890,"United Kingdom","Germany",,3120,"cession"
1890,"United Kingdom","Eswatini",55000,17363,"annexation"
1890,"Germany","United Kingdom",2001,2,"cession"
1890,"Germany","United Kingdom",,18200,"cession"
1891,"Belgium","Portugal",,1,"cession"
1891,"Portugal","Belgium",,1,"cession"
1892,"United Kingdom","United Arab Emirates",,92100,"cession"
1892,"Italy","United Kingdom",,10000,"cession"
1893,"United Kingdom","Afghanistan",,104980,"cession"
1893,"France","Laos",600000,255000,"conquest"
1894,"France","Belgium",,1,"cession"
1895,"Brazil","Paraguay",,13000,"cession"
1895,"Russia","Afghanistan",,26000,"cession"
1895,"Japan","China",2781272,35763,"conquest"
1896,"France","Madagascar",3500000,590000,"conquest"
1897,"Mexico","France",0,5,"conquest"
1897,"United Kingdom","Italy",,1,"cession"
1897,"United Kingdom","Ethiopia",,20720,"cession"
1897,"Turkey","Greece",200,1,"cession"
1898,"United States","Spain",9000,541,"cession"
1898,"United States","Spain",7000000,299404,"cession"
1898,"United States","Spain",953243,8860,"cession"
1898,"United States","Spain",1572797,114525,"cession"
1898,"United Kingdom","China",150000,738,"cession"
1898,"United Kingdom","France",,71500,"cession"
1898,"United Kingdom","China",100000,953,"cession"
1898,"France","United Kingdom",,13000,"cession"
1898,"Russia","China",250000,3170,"cession"
1898,"United Kingdom","Turkey",294190,8614,"conquest"
1899,"United States","Samoa",4000,195,"cession"
1899,"Venezuela","United Kingdom",,1,"cession"
1899,"United Kingdom","Germany",,1,"cession"
1899,"United Kingdom","Germany",89000,23310,"cession"
1899,"United Kingdom","Venezuela",,155400,"cession"
1899,"United Kingdom","Kuwait",50000,15540,"annexation"
1899,"United Kingdom","Sudan",2000000,2505823,"conquest"
1899,"Germany","United Kingdom",,1,"cession"
1899,"Germany","Spain",15069,405,"cession"
1899,"Germany","Samoa",33000,2823,"cession"
1900,"United Kingdom","Tonga",26000,700,"annexation"
1900,"Russia","China",5530000,939280,"conquest"
1902,"Cuba","United States",1572797,114525,"unknown process"
1902,"Chile","Argentina",,27708,"cession"
1902,"Argentina","Chile",,20470,"cession"
1902,"United Kingdom","Ethiopia",,292500,"cession"
1903,"United States","United Kingdom",,1,"cession"
1903,"United States","Panama",21650,1678,"cession"
1903,"Panama","Colombia",400000,75690,"secession"
1903,"Brazil","Bolivia",70000,191000,"cession"
1903,"Bolivia","Brazil",,3108,"cession"
1903,"France","Morocco",62000,499870,"conquest"
