WARNAME,STATENAME,ISO3C,STARTDAY,STARTMONTH,STARTYEAR,ENDDAY,ENDMONTH,ENDYEAR,TOTAL_WAR_TIME,TOTAL_BATTLE_DEATHS,LAT,LNG,Start_date
Second Sino_Japanese,Japan,JPN,19,12,1931,22,05,1933,520,60000,45.8038,126.535,19/12/1931
Conquest of Ethiopia,Ethiopia,ETH,03,10,1935,09,05,1936,219,20000,7.05,45.4,3/10/1935
Conquest of Ethiopia,Italy,ITA,03,10,1935,09,05,1936,219,20000,7.05,45.4,3/10/1935
World War II,Brazil,BRA,06,07,1944,07,05,1945,305,13365089,52.518553,14.614435,6/07/1944
World War II,Italy,ITA,18,10,1943,07,05,1945,567,13365089,52.518553,14.614435,18/10/1943
World War II,USSR,RUS,22,06,1941,07,05,1945,1415,13365089,52.518553,14.614435,22/06/1941
World War II,Belgium,BEL,10,05,1940,28,05,1940,18,13365089,52.518553,14.614435,10/05/1940
World War II,Netherlands,NLD,10,05,1940,14,05,1940,4,13365089,52.518553,14.614435,10/05/1940
Bosnian Independence,Bosnia,BIH,07,04,1992,13,05,1992,36,5240,44.026656,17.962806,7/04/1992
Bosnian Independence,Croatia,HRV,07,04,1992,13,05,1992,36,5240,44.026656,17.962806,7/04/1992
Saudi_Yemeni,Saudi Arabia,SAU,20,03,1934,13,05,1934,54,2100,17.3755,44.5422,20/03/1934
Invasion of Iraq,United States of America,USA,19,03,2003,02,05,2003,44,7173,36.3566,43.164,19/03/2003
Invasion of Iraq,Iraq,IRQ,19,03,2003,02,05,2003,44,7173,36.3566,43.164,19/03/2003
Invasion of Iraq,Australia,AUS,19,03,2003,02,05,2003,44,7173,36.3566,43.164,19/03/2003
Invasion of Iraq,United Kingdom,GBR,19,03,2003,02,05,2003,44,7173,36.3566,43.164,19/03/2003
Azeri_Armenian,Azerbaijan,AZE,06,02,1993,12,05,1994,460,14000,39.707792,46.183919,6/02/1993
Azeri_Armenian,Armenia,ARM,06,02,1993,12,05,1994,460,14000,39.707792,46.183919,6/02/1993
Anglo_Persian,United Kingdom,GBR,25,10,1856,05,04,1857,162,2000,35.6892,51.389,25/10/1856
Anglo_Persian,Iran,IRN,25,10,1856,05,04,1857,162,2000,35.6892,51.389,25/10/1856
First Central American,El Salvador,SLV,27,03,1876,25,04,1876,29,4000,14.1462,-89.709,27/03/1876
First Central American,Guatemala,GTM,27,03,1876,25,04,1876,29,4000,14.1462,-89.709,27/03/1876
Second Central American,Guatemala,GTM,28,03,1885,15,04,1885,18,1000,14.1462,-89.709,28/03/1885
Second Central American,El Salvador,SLV,28,03,1885,15,04,1885,18,1000,14.1462,-89.709,28/03/1885
Second Schleswig_Holstein,Germany,DEU,01,02,1864,25,04,1864,84,4481,54.51,9.72,1/02/1864
Second Schleswig_Holstein,Denmark,DNK,01,02,1864,25,04,1864,84,4481,54.51,9.72,1/02/1864
Fourth Central American,Nicaragua,NIC,19,02,1907,23,04,1907,63,1000,14.082,-85.4934,19/02/1907
Fourth Central American,Honduras,HND,19,02,1907,23,04,1907,63,1000,14.082,-85.4934,19/02/1907
Fourth Central American,El Salvador,SLV,19,02,1907,23,04,1907,63,1000,14.082,-85.4934,19/02/1907
First Balkan,Turkey,TUR,17,10,1912,19,04,1913,184,82000,41.919138,26.693898,17/10/1912
First Balkan,Greece,GRC,17,10,1912,19,04,1913,184,82000,41.919138,26.693898,17/10/1912
Off_shore Islands,China,CHN,03,09,1954,23,04,1955,232,2370,24.439791,118.402923,3/09/1954
Off_shore Islands,Taiwan,TWN,03,09,1954,23,04,1955,232,2370,24.439791,118.402923,3/09/1954
Latvian Liberation,Germany,DEU,07,12,1918,15,04,1919,129,13246,57.396734,27.066578,7/12/1918
Gulf War,Iraq,IRQ,02,08,1990,11,04,1991,252,41466,29.362458,47.698599,2/08/1990
Gulf War,Kuwait,KWT,02,08,1990,11,04,1991,252,41466,29.362458,47.698599,2/08/1990
World War II,Greece,GRC,25,10,1940,23,04,1941,180,13365089,52.518553,14.614435,25/10/1940
IfniWar,Morocco,MAR,21,11,1957,10,04,1958,140,1122,29.353335,-10.186582,21/11/1957
IfniWar,Spain,ESP,21,11,1957,10,04,1958,140,1122,29.353335,-10.186582,21/11/1957
"Vietnam War, Phase 2",Cambodia,KHM,01,03,1970,17,04,1975,1873,1021442,17.01,106.82,1/03/1970
"Second Laotian, Phase 2",Thailand,THA,17,03,1970,17,04,1973,1127,13875,13.2301,106.617,17/03/1970
Ugandian_Tanzanian,Uganda,UGA,28,10,1978,11,04,1979,165,3000,-1.00008,32.1947,28/10/1978
Ugandian_Tanzanian,Tanzania,TZA,28,10,1978,11,04,1979,165,3000,-1.00008,32.1947,28/10/1978
IfniWar,France,FRA,10,02,1958,10,04,1958,59,1122,29.353335,-10.186582,10/02/1958
"Vietnam War, Phase 2",Vietnam,VNM,07,02,1965,30,04,1975,3734,1021442,17.01,106.82,7/02/1965
Ugandian_Tanzanian,Libya,LBY,01,02,1979,11,04,1979,69,3000,-1.00008,32.1947,1/02/1979
"Second Laotian, Phase 2",United States of America,USA,13,01,1968,17,04,1973,1921,13875,13.2301,106.617,13/01/1968
"Second Laotian, Phase 2",Laos,LAO,13,01,1968,17,04,1973,1921,13875,13.2301,106.617,13/01/1968
"Second Laotian, Phase 2",Vietnam,VNM,13,01,1968,17,04,1973,1921,13875,13.2301,106.617,13/01/1968
Gulf War,Oman,OMN,16,01,1991,11,04,1991,85,41466,29.362458,47.698599,16/01/1991
Gulf War,United Kingdom,GBR,16,01,1991,11,04,1991,85,41466,29.362458,47.698599,16/01/1991
